State_ab,City,Zip_Code,Lat,Lon,Mean,Median,Stdev,sum_w
FL,Coconut Creek,33073,26.3109595,-80.1779955,47168,41619,25176,197.058269113424
FL,Archer,32618,29.5228298,-82.4729903,86873,70501,66765,1463.86615028475
FL,Hollywood,33020,26.0158107,-80.1413969,33011,23083,34875,945.038578574595
FL,Pompano Beach,33060,26.2386183,-80.1329679,31313,23489,28641,865.768355989629
FL,Pompano Beach,33069,26.2197931,-80.1627248,57402,44409,42228,856.102489678008
FL,Hollywood,33024,26.0279146,-80.2309151,69450,59784,52635,1146.73148947696
FL,Miramar,33023,25.9916696,-80.2159699,49941,38868,33934,1110.59799721985
FL,Fort Lauderdale,33301,26.1222046,-80.1412557,70637,61270,56760,791.410302746072
FL,Fort Lauderdale,33315,26.096377,-80.1528724,52011,28851,50188,225.919209594633
FL,Hallandale Beach,33009,25.9809538,-80.1320214,60770,36763,63675,1306.27446826656
FL,Sunrise,33325,26.1433192,-80.3341825,96716,300000,69494,274.52136717645
FL,Plantation,33324,26.1277513,-80.2921213,65196,54111,35921,402.5851142984
FL,Weston,33326,26.1027595,-80.3809625,112109,106177,63405,145.32365235589
FL,Southwest Ranches,33331,26.0489699,-80.3647642,156828,173899,81367,51.7263558184506
FL,Cooper City,33026,26.0421575,-80.2825623,134329,300000,66486,136.08933142988
FL,Hollywood,33021,26.0499032,-80.1814849,28477,24405,23481,605.152634306219
FL,Miramar,33029,26.0003387,-80.3860597,101081,92036,65082,507.986634604646
FL,Pembroke Pines,33025,26.0044651,-80.2916826,66885,65580,36106,1170.51361783717
FL,Pembroke Pines,33028,26.0005629,-80.3169994,22650,17194,18845,1469.93603532467
FL,Clarksville,32430,30.3817348,-85.2758361,47372,42002,33100,224.357677641872
FL,Pt Charlotte,33983,26.9716423,-81.9870105,55513,43573,42948,358.250716542869
FL,Punta Gorda,33950,26.9250173,-82.0832548,83924,68903,63775,423.540531251331
FL,Punta Gorda,33982,26.9228858,-81.9798758,65700,66041,38670,557.110371859495
FL,Port Charlotte,33952,27.0096816,-82.1005755,47931,300000,24540,407.155593547218
FL,Port Charlotte,33948,26.9888622,-82.1303088,45317,38130,31829,558.183595133502
FL,Port Charlotte,33980,26.9575363,-82.0993051,87201,68765,63189,299.717031845581
FL,Port Charlotte,33981,26.9510061,-82.2407712,53533,300000,42241,471.256348417737
FL,Englewood,34224,26.9291026,-82.3247884,43482,42869,22163,270.823896142157
FL,Rotonda West,33947,26.8921808,-82.2476994,77971,63223,58076,422.680981509639
FL,Citrus Springs,34434,28.9799752,-82.3767355,43255,34484,29519,394.487844997371
FL,Citrus Springs,34433,28.9459325,-82.515756,68865,52478,59132,1503.93664975388
FL,Homosassa,34448,28.8475484,-82.5505834,45391,37636,38755,465.414915691537
FL,Inverness,34450,28.8614838,-82.3005983,60052,45902,52249,444.552214711034
FL,Floral City,34436,28.7648197,-82.258136,36894,24525,35805,525.610288147169
FL,Lecanto,34461,28.7999823,-82.5414945,35993,16433,45695,494.815228807947
FL,Homosassa,34487,28.7627759,-82.6439496,35127,26218,28069,228.987802071115
FL,Middleburg,32068,30.0815214,-81.9007375,63066,49944,47652,307.215332237613
FL,Orange Park,32003,30.0845594,-81.7284417,69705,300000,29579,198.385735153379
FL,Keystone Heights,32656,29.8076103,-81.9422398,49269,38761,41191,499.984089034339
FL,Naples,34102,26.1699418,-81.795686,92865,75279,71040,178.889079397264
FL,Naples,34108,26.3046368,-81.8243198,87073,300000,62924,417.94349754185
