,Name,Type,Address,Zip Code
13608,"('Los Comales Niles',)",mexican,9055NMilwaukeeAve,60714
13609,"(""Brandy's Gyros"",)",greek,6262NHarlemAve,60631
13610,"('Buffalo Wild Wings',)",chicken_wings,7020CarpenterRd,60077
13611,"('Panera Bread',)",sandwiches,39SNorthwestHighway,60068
13612,"('Blaze-N-Grill',)",burgers,6400NMilwaukeeAve,60631
13613,"('Niles Polish Deli',)",delis,8705NMilwaukeeAve,60714
13614,"('Wingstop',)",chicken_wings,8484WGolfRd,60714
13615,"('Chipotle Mexican Grill',)",mexican,8488WGolfRd,60714
13616,"('Las Fuentes Restaurant',)",mexican,9001WaukeganRd,60053
13617,"('Chipotle Mexican Grill',)",mexican,5373TouhyAve,60077
13618,"('Panera Bread',)",sandwiches,9400NMilwaukeeAvenue,60714
13619,"('4 Hermanos Too',)",mexican,6145WTouhyAve,60646
13620,"('Buffalo Wild Wings',)",tradamerican,4999OldOrchardCtr,60077
13621,"(""Grandpa's Place"",)",tradamerican,1868PrairieSt,60025
13622,"('Chipotle Mexican Grill',)",mexican,119SNorthwestHwy,60068
13623,"('Wildwood Tavern',)",tradamerican,6480WTouhyAve,60714
13624,"(""Chili's"",)",tex-mex,5435TouhyAve,60077
13625,"('Burger King',)",hotdogs,5315WTouhy,60077
13626,"('Taco Bell',)",mexican,1757Waukegan,60025
13627,"('Taco Bell',)",mexican,2410ERandRd,60004
13628,"('Wingstop',)",chicken_wings,1473EllinwoodAve,60016
13629,"('Popeyes Louisiana Kitchen',)",hotdogs,1790WAlgonquinRd,60056
13630,"('Chipotle Mexican Grill',)",mexican,102EKensingtonRd,60056
13631,"('Burger King',)",burgers,1205ECentralRd,60056
13632,"('MOD Pizza',)",pizza,1021NElmhurstRd,60056
13633,"('Grill 12',)",burgers,1350ERandRd,60004
13634,"(""Wendy's"",)",burgers,1595LeeStreet,60018
13635,"('Buffalo Wild Wings',)",chicken_wings,301EastEuclidAve,60056
13636,"('Boston Market',)",tradamerican,1000SElmhurst,60056
13637,"(""McDonald's"",)",burgers,725WGolfRd,60016
13638,"(""Jimmy John's"",)",sandwiches,1550SElmhurstRd,60056
13639,"('Tropical Smoothie Cafe',)",juicebars,918NElmhurstRd,60056
13640,"('Mr Pup',)",burgers,1262LeeSt,60018
13641,"('KFC',)",chicken_wings,1470SElmhurstRd,60056
13642,"('Taqueria El Gallo de Oro',)",mexican,1186LeeSt,60016
13643,"('Taco Bell',)",mexican,1175EOakton,60018
13644,"(""Jimmy John's"",)",sandwiches,1299ERandRd,60004
13645,"(""Monica's Mexican Restaurant"",)",mexican,636NMilwaukeeAve,60070
13646,"('Mi Restaurant',)",mexican,1742EKensingtonRd,60056
13647,"('Le Peep Breakfast & Lunch',)",breakfast_brunch,10ENorthwestHwy,60056
13648,"('Burger King',)",burgers,1242LeeSt,60018
13649,"('Dairy Queen Grill & Chill',)",icecream,1495ElmhurstRd,60018
13650,"('Little Caesars Pizza',)",pizza,1010SElmhurstRoad,60056
13651,"('Pizza Hut',)",pizza,1387LeeSt,60018
13652,"(""Rosati's Pizza"",)",pizza,1629BusseRd,60056
13653,"(""Katie's Kitchen"",)",breakfast_brunch,623NWolfRd,60016
13654,"(""Domino's Pizza"",)",pizza,1169LeeSt,60016
13655,"('KFC',)",hotdogs,1195EOaktonSt,60018
13656,"('Burger King',)",burgers,860ElmhurstRd,60016
