"name","type","address","zip_code","state_ab","city","zip_code-2","lst","lon","mean","median","stdev","sum_w"
"El Toro Taqueria","mexican","598 Valencia St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"El Toreador Restaurant","mexican","50 W Portal Ave","94127","CA","San Francisco","94127","37.7391909","-122.4678657",134649,300000,75047,"81.16144117"
"Roxie's Market & Deli","grocery","500 Kirkham St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Yumma's Mediterranean Grill","greek","721 Irving St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Taqueria Guadalajara","mexican","3146 24th St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Rincon Latino","salvadoran","5080 Mission St","94112","CA","San Francisco","94112","37.7280629","-122.4372594",103187,83574,84934,"156.6236581"
"New Castillito Taquería ","mexican","2092 Mission St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Boudin Bakery & Cafe","bakeries","3251 20th Ave","94132","CA","San Francisco","94132","37.7133961","-122.4670977",84239,67378,65291,"426.5749319"
"Harvey's","tradamerican","500 Castro St","94114","CA","San Francisco","94114","37.7648873","-122.4394973",119299,300000,78740,"124.3604038"
"KFC","hotdogs","4150 Geary Blvd","94118","CA","San Francisco","94118","37.7843303","-122.4683869",75731,63551,64992,"314.086381"
"The Ice Cream Bar","icecream","815 Cole St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"The Market","grocery","1355 Market St","94103","CA","San Francisco","94103","37.7794424","-122.4107252",55829,17195,72540,"364.9354786"
"Noosh","mediterranean","2001 Fillmore St","94115","CA","San Francisco","94115","37.7879139","-122.4302666",133389,141923,75434,"208.4480145"
"Park Gyros","greek","1201 9th Ave","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Orphan Andy's","diners","3991 17th St","94114","CA","San Francisco","94114","37.7648873","-122.4394973",119299,300000,78740,"124.3604038"
"Copas","spanish","2223 Market St","94114","CA","San Francisco","94114","37.7648873","-122.4394973",119299,300000,78740,"124.3604038"
"Padrecito","mexican","901 Cole St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"Zushi Puzzle","sushi","1910 Lombard St","94123","CA","San Francisco","94123","37.8022683","-122.4391509",122229,110331,74461,"498.8967394"
"Que Huong Vietnamese Deli","vietnamese","2138 Irving St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"The Ice Cream Bar","icecream","815 Cole St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"Academy Café","coffee","55 Music Concourse Dr","94118","CA","San Francisco","94118","37.7843303","-122.4683869",75731,63551,64992,"314.086381"
"Roxie's Market & Deli","grocery","500 Kirkham St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Kitchen Woori","catering","1545 Fillmore St","94115","CA","San Francisco","94115","37.7879139","-122.4302666",133389,141923,75434,"208.4480145"
"Pacific Plaza Cafe","sandwiches","1338 Franklin St","94109","CA","San Francisco","94109","37.798037","-122.4205599",120686,105824,84510,"439.5722336"
"Java Beach Café","coffee","1396 La Playa St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
